,objectid,iso3,adm2_name,adm2_altnm,adm2_id,adm1_name,adm1_id,adm0_name,adm0_id,mapclr,rb,disp_area,salb_id,source,source_id,source_date,lst_update,validity,ID,Gov_ID,Gov_PCode,Gov_NAM_En,Gov_NAM_Ar,Dis_ID,Dis_NAM_En,Dis_NAM_Ar,ADM0_PCode
1,2983,YEM,Abs,عبس,1042924,Hajjah,903641,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1704,01/02/2019,05/03/2021,0,44,17,YE17,Hajjah,حجة,1704,Abs,عبس,YE
2,2984,YEM,Ad Dali',الضالع,1042925,Ad Dali',903631,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE3006,01/02/2019,05/03/2021,0,229,30,YE30,Al Dhale'e,الضالع,3006,Ad Dhale'e,الضالع,YE
3,2985,YEM,Ad Dis,الديس,1042926,Hadramawt,903640,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1914,01/02/2019,05/03/2021,0,113,19,YE19,Hadramaut,حضرموت,1914,Ad Dis,الديس,YE
4,2986,YEM,Ad Dohi,الضحى,1042927,Al Hodeidah,903634,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1809,01/02/2019,05/03/2021,0,310,18,YE18,Al Hudaydah,الحديدة,1809,Ad Dahi,الضحي,YE
5,2987,YEM,Ad Dulay'ah,الضليعه,1042928,Hadramawt,903640,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1922,01/02/2019,05/03/2021,0,132,19,YE19,Hadramaut,حضرموت,1922,Adh Dhlia'ah,الضليعه,YE
6,2988,YEM,Ad Durayhimi,الدريهمي,1042929,Al Hodeidah,903634,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1814,01/02/2019,05/03/2021,0,278,18,YE18,Al Hudaydah,الحديدة,1814,Ad Durayhimi,الدريهمي,YE
7,2989,YEM,Adh Dhahir,الظاهر,1042930,Sa'dah,903646,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2207,01/02/2019,05/03/2021,0,299,22,YE22,Sa'ada,صعدة,2207,Al Dhaher,الظاهر,YE
8,2990,YEM,Adh Dhihar,الظهار,1042931,Ibb,903642,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1119,01/02/2019,05/03/2021,0,214,11,YE11,Ibb,إب,1119,Al Dhihar,الظهار,YE
9,2991,YEM,Aflah Al Yaman,افلح اليمن,1042932,Hajjah,903641,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1714,01/02/2019,05/03/2021,0,64,17,YE17,Hajjah,حجة,1714,Aflah Al Yaman,افلح اليمن,YE
10,2992,YEM,Aflah Ash Sham,افلح الشام,1042933,Hajjah,903641,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1710,01/02/2019,05/03/2021,0,303,17,YE17,Hajjah,حجة,1710,Aflah Ash Shawm,افلح الشام,YE
11,2993,YEM,Ahwar,احور,1042934,Abyan,903630,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1209,01/02/2019,05/03/2021,0,218,12,YE12,Abyan,أبين,1209,Ahwar,احوار,YE
12,2994,YEM,Al Abdiyah,العبديه,1042935,Ma'rib,903644,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2611,01/02/2019,05/03/2021,0,157,26,YE26,Marib,مأرب,2611,Al Abdiyah,العبدية,YE
13,2995,YEM,Al Abr,العبر,1042936,Hadramawt,903640,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1906,01/02/2019,05/03/2021,0,45,19,YE19,Hadramaut,حضرموت,1906,Al Abr,العبر,YE
